index,StartDateUTC,EndDateUTC
376,2016-01-26 16:01:35.163,2016-01-26 16:21:27.233
377,2016-01-26 16:21:27.233,2016-01-26 16:35:20.257
378,2016-01-26 16:35:20.257,2016-01-26 16:37:22.297
379,2016-01-26 16:37:22.297,2016-01-26 17:22:14.413
380,2016-01-26 17:22:14.413,2016-01-26 17:24:42.420
381,2016-01-26 17:24:42.420,2016-01-26 17:32:15.543
382,2016-01-26 17:32:15.543,2016-01-26 17:34:26.440
383,2016-01-26 17:34:26.440,2016-01-26 18:26:54.607
384,2016-01-26 18:26:54.607,2016-01-26 18:29:19.680
385,2016-01-26 18:29:19.680,2016-01-26 19:00:07.683
386,2016-01-26 19:00:07.683,2016-01-26 19:02:55.690
387,2016-01-26 19:02:55.690,2016-01-26 19:40:56.827
388,2016-01-26 19:40:56.827,2016-01-26 19:43:00.830
389,2016-01-26 19:43:00.830,2016-01-26 20:19:15.960
390,2016-01-26 20:19:15.960,2016-01-26 20:21:50.933
391,2016-01-26 20:21:50.933,2016-01-26 20:30:37.950
392,2016-01-26 20:30:37.950,2016-01-26 20:33:45.030
393,2016-01-26 20:33:45.030,2016-01-26 21:43:30.140
394,2016-01-26 21:43:30.140,2016-01-26 21:48:52.150
395,2016-01-26 21:48:52.150,2016-01-26 21:55:27.110
396,2016-01-26 21:55:27.110,2016-01-26 21:58:18.090
397,2016-01-26 21:58:18.090,2016-01-26 22:00:42.110
398,2016-01-26 22:00:42.110,2016-01-26 22:03:46.160
399,2016-01-26 22:03:46.160,2016-01-26 22:59:18.343
400,2016-01-26 22:59:18.343,2016-01-26 23:15:42.700
401,2016-01-26 23:15:42.700,2016-01-26 23:39:32.373
402,2016-01-26 23:39:32.373,2016-01-27 00:02:00.683
403,2016-01-27 00:02:00.683,2016-01-27 00:20:43.883
404,2016-01-27 00:20:43.883,2016-01-27 00:23:52.573
405,2016-01-27 00:23:52.573,2016-01-27 00:26:15.573
406,2016-01-27 00:26:15.573,2016-01-27 00:28:16.623
407,2016-01-27 00:28:16.623,2016-01-27 00:33:31.597
408,2016-01-27 00:33:31.597,2016-01-27 00:37:59.667
409,2016-01-27 00:37:59.667,2016-01-27 00:39:17.603
410,2016-01-27 00:39:17.603,2016-01-27 00:46:06.630
411,2016-01-27 00:46:06.630,2016-01-27 00:48:26.623
412,2016-01-27 00:48:26.623,2016-01-27 00:53:13.697
413,2016-01-27 00:53:13.697,2016-01-27 01:21:29.713
414,2016-01-27 01:21:29.713,2016-01-27 01:23:33.940
415,2016-01-27 01:23:33.940,2016-01-27 02:05:34.840
416,2016-01-27 02:05:34.840,2016-01-27 02:05:39.897
417,2016-01-27 02:05:39.897,2016-01-27 02:34:18.887
418,2016-01-27 02:34:18.887,2016-01-27 02:51:53.993
419,2016-01-27 02:51:53.993,2016-01-27 02:52:23.050
420,2016-01-27 02:52:23.050,2016-01-27 02:54:43.003
421,2016-01-27 02:54:43.003,2016-01-27 03:06:41.250
422,2016-01-27 03:06:41.250,2016-01-27 03:09:38.057
423,2016-01-27 03:09:38.057,2016-01-27 03:10:46.023
424,2016-01-27 03:10:46.023,2016-01-27 03:14:14.083
425,2016-01-27 03:14:14.083,2016-01-27 03:26:40.057
426,2016-01-27 03:26:40.057,2016-01-27 03:28:53.063
427,2016-01-27 03:28:53.063,2016-01-27 04:00:29.150
428,2016-01-27 04:00:29.150,2016-01-27 04:03:38.420
429,2016-01-27 04:03:38.420,2016-01-27 04:05:36.203
430,2016-01-27 04:05:36.203,2016-01-27 04:08:40.480
431,2016-01-27 04:08:40.480,2016-01-27 04:09:01.177
432,2016-01-27 04:09:01.177,2016-01-27 04:14:05.203
433,2016-01-27 04:14:05.203,2016-01-27 04:14:56.200
