ID,StartDateUTC,EndDateUTC
635,2016-05-17 12:58:27.840,2016-05-17 13:03:15.813
636,2016-05-17 13:13:14.960,2016-05-17 13:16:55.920
637,2016-05-17 19:50:17.513,2016-05-17 19:52:30.440
638,2016-05-17 19:52:38.443,2016-05-17 20:14:15.520
639,2016-05-18 07:55:49.690,2016-05-18 07:58:59.620
640,2016-05-18 08:15:54.333,2016-05-18 08:17:59.790
641,2016-05-18 13:54:24.467,2016-05-18 13:56:30.240
642,2016-05-18 14:04:57.200,2016-05-18 14:17:42.143
643,2016-05-18 14:46:13.087,2016-05-18 14:48:44.103
644,2016-05-19 02:08:00.967,2016-05-19 02:16:31.990
645,2016-05-19 02:43:46.090,2016-05-19 02:46:28.173
646,2016-05-19 09:44:07.237,2016-05-19 09:48:25.380
647,2016-05-19 10:12:48.270,2016-05-19 10:14:54.403
648,2016-05-19 11:19:40.530,2016-05-19 11:31:22.630
649,2016-05-19 22:09:00.033,2016-05-19 22:11:15.153
650,2016-05-19 22:11:15.153,2016-05-19 22:28:09.093
651,2016-05-20 03:57:59.430,2016-05-20 04:00:07.533
652,2016-05-20 07:32:46.480,2016-05-20 07:48:21.173
653,2016-05-20 07:48:50.177,2016-05-20 08:02:41.247
654,2016-05-20 16:42:18.873,2016-05-20 16:43:13.877
655,2016-05-20 19:06:23.157,2016-05-20 19:08:28.183
656,2016-05-21 08:02:48.310,2016-05-21 08:07:14.347
657,2016-05-23 11:41:47.603,2016-05-23 11:44:05.743
658,2016-05-23 18:50:21.943,2016-05-23 18:50:43.867
659,2016-05-23 18:57:21.937,2016-05-23 19:05:45.977
660,2016-05-23 20:44:09.113,2016-05-23 20:52:39.137
661,2016-05-24 03:01:25.190,2016-05-24 03:10:03.237
662,2016-05-24 03:10:55.223,2016-05-24 03:19:32.277
663,2016-05-24 03:19:37.250,2016-05-24 03:21:33.350
664,2016-05-24 05:59:22.380,2016-05-24 06:11:25.393
665,2016-05-24 10:04:27.750,2016-05-24 10:09:32.677
666,2016-05-24 10:22:49.597,2016-05-24 10:25:21.607
667,2016-05-24 16:23:27.663,2016-05-24 16:25:33.800
668,2016-05-24 16:41:27.147,2016-05-24 16:44:29.890
669,2016-05-24 16:46:08.867,2016-05-24 16:51:58.763
670,2016-05-24 22:55:41.930,2016-05-24 23:22:11.927
671,2016-05-25 05:01:20.953,2016-05-25 05:05:29.003
672,2016-05-25 05:09:42.970,2016-05-25 05:14:04.133
673,2016-05-25 05:23:47.010,2016-05-25 05:35:43.067
674,2016-05-25 05:36:30.043,2016-05-25 05:45:22.063
675,2016-05-25 05:45:22.063,2016-05-25 05:49:33.110
676,2016-05-25 11:26:18.913,2016-05-25 11:27:22.993
677,2016-05-25 11:56:08.803,2016-05-25 11:58:14.837
678,2016-05-25 11:59:41.960,2016-05-25 12:01:47.800
679,2016-05-25 19:31:23.450,2016-05-25 19:41:38.583
680,2016-05-25 19:41:38.583,2016-05-25 19:43:41.580
681,2016-05-25 19:43:43.490,2016-05-25 19:53:33.630
682,2016-05-25 20:01:04.540,2016-05-25 20:09:06.683
683,2016-05-26 02:13:34.590,2016-05-26 02:24:14.527
684,2016-05-26 02:47:19.590,2016-05-26 02:51:04.643
685,2016-05-26 12:31:09.297,2016-05-26 12:37:44.077
686,2016-05-26 12:53:32.130,2016-05-26 12:55:58.127
687,2016-05-26 13:36:39.900,2016-05-26 13:46:26.963
688,2016-05-26 13:47:16.063,2016-05-26 13:56:42.843
689,2016-05-26 20:22:56.160,2016-05-26 20:23:39.967
690,2016-05-26 20:23:39.967,2016-05-26 20:50:53.060
691,2016-05-27 03:24:58.280,2016-05-27 03:25:28.190
692,2016-05-27 18:28:54.697,2016-05-27 18:30:59.850
693,2016-05-28 04:32:07.963,2016-05-28 04:34:15.813
694,2016-05-28 04:45:33.860,2016-05-28 04:50:01.860
695,2016-05-30 10:15:58.970,2016-05-30 10:18:26.097
696,2016-05-30 10:49:37.010,2016-05-30 10:51:47.940
697,2016-05-30 16:32:07.547,2016-05-30 16:40:35.510
698,2016-05-30 16:52:49.543,2016-05-30 16:54:54.760
699,2016-05-30 22:32:53.623,2016-05-30 22:33:55.600
700,2016-05-30 22:33:55.600,2016-05-30 23:16:41.833
701,2016-05-31 01:27:38.223,2016-05-31 01:35:26.217
702,2016-05-31 01:36:56.093,2016-05-31 01:42:35.183
703,2016-05-31 02:24:10.220,2016-05-31 02:48:32.300
704,2016-05-31 03:33:48.483,2016-05-31 03:36:34.550
705,2016-05-31 04:01:54.550,2016-05-31 04:07:19.700
706,2016-05-31 07:47:46.250,2016-05-31 07:49:52.280
707,2016-05-31 14:19:55.803,2016-05-31 14:22:34.913
708,2016-05-31 20:06:26.450,2016-05-31 20:23:37.600
709,2016-06-01 07:46:00.497,2016-06-01 07:46:06.493
710,2016-06-01 18:21:01.660,2016-06-01 18:23:06.777
711,2016-06-02 00:10:59.680,2016-06-02 00:20:19.697
712,2016-06-02 00:20:24.690,2016-06-02 00:33:37.770
713,2016-06-02 07:25:57.033,2016-06-02 07:28:03.233
714,2016-06-02 16:12:07.690,2016-06-02 16:12:53.710
715,2016-06-02 18:11:04.333,2016-06-02 18:13:11.363
716,2016-06-02 23:53:51.367,2016-06-02 23:57:36.330
717,2016-06-02 23:57:36.330,2016-06-03 00:13:55.310
718,2016-06-03 06:50:04.293,2016-06-03 06:52:09.467
719,2016-06-03 10:49:53.010,2016-06-03 10:52:30.017
720,2016-06-03 10:55:57.050,2016-06-03 11:01:10.070
721,2016-06-03 12:56:32.633,2016-06-03 13:04:36.603
722,2016-06-03 13:12:43.577,2016-06-03 13:15:22.630
723,2016-06-03 20:52:33.510,2016-06-03 20:53:32.510
724,2016-06-03 23:13:42.120,2016-06-03 23:16:22.050
725,2016-06-04 19:20:51.507,2016-06-04 19:22:48.493
726,2016-06-04 19:46:45.543,2016-06-04 19:48:52.567
727,2016-06-05 04:02:51.070,2016-06-05 06:23:38.617
728,2016-06-05 12:52:28.730,2016-06-05 12:53:29.750
729,2016-06-05 22:23:03.867,2016-06-05 22:25:08.747
730,2016-06-05 22:31:00.710,2016-06-05 22:33:59.687
731,2016-06-05 22:34:41.680,2016-06-05 22:43:20.650
732,2016-06-06 05:50:56.730,2016-06-06 05:53:39.623
733,2016-06-06 06:48:27.790,2016-06-06 06:50:44.823
734,2016-06-06 12:13:25.387,2016-06-06 12:16:08.427
735,2016-06-06 14:32:36.853,2016-06-06 14:59:42.923
736,2016-06-06 19:03:06.747,2016-06-06 19:03:38.213
737,2016-06-06 19:03:45.673,2016-06-06 19:05:39.680
738,2016-06-06 19:16:36.640,2016-06-06 19:38:11.647
739,2016-06-07 02:21:07.830,2016-06-07 02:30:08.847
740,2016-06-07 02:30:08.847,2016-06-07 02:42:08.943
741,2016-06-07 08:58:00.203,2016-06-07 09:08:45.453
742,2016-06-07 09:19:05.877,2016-06-07 09:21:11.293
743,2016-06-07 17:55:03.793,2016-06-07 17:57:08.817
744,2016-06-07 18:26:59.910,2016-06-08 02:56:07.860
745,2016-06-09 15:58:23.327,2016-06-09 16:01:09.360
746,2016-06-09 23:08:10.570,2016-06-09 23:23:21.603
747,2016-06-09 23:23:26.590,2016-06-09 23:25:22.627
