ID,Duration,Start,End,Quantity,Product,Power
238,36.01,2016-08-23 02:44:12.503,2016-08-24 14:44:38.323,3000.0,042939EU,4.57
239,20.21,2016-08-24 14:44:41.393,2016-08-25 10:57:16.553,2700.0,042943EU,3.78
240,7.99,2016-08-25 11:08:38.173,2016-08-25 19:07:55.397,1400.0,043942EU,3.42
241,11.56,2016-08-25 19:08:24.587,2016-08-26 06:41:55.963,1000.0,037732CH,3.94
242,13.34,2016-08-26 06:41:59.327,2016-08-26 20:02:05.607,2600.0,023732CH,3.76
243,22.53,2016-08-26 23:40:31.630,2016-08-27 22:12:34.673,5000.0,044042EU,3.0
244,28.36,2016-08-28 00:20:05.333,2016-08-29 04:41:33.663,5700.0,044046EU,4.18
245,22.17,2016-08-29 04:41:39.977,2016-08-30 02:52:01.083,2700.0,037739CH,4.93
246,13.63,2016-08-30 02:52:04.630,2016-08-30 16:29:39.387,1800.0,043932EU,4.24
247,20.92,2016-08-30 16:29:44.223,2016-08-31 13:25:09.207,2300.0,042944EU,3.31
248,15.52,2016-08-31 13:25:13.647,2016-09-01 04:56:18.733,3600.0,042943EU,3.07
249,16.34,2016-09-01 04:56:24.030,2016-09-01 21:16:54.250,3000.0,042939EU,4.13
250,7.72,2016-09-01 21:17:01.837,2016-09-02 05:00:27.153,1500.0,043938EU,3.95
251,16.24,2016-09-02 05:00:32.373,2016-09-02 21:14:45.963,3200.0,036640EC,3.38
252,20.22,2016-09-02 21:42:40.260,2016-09-03 17:55:43.880,3000.0,036647EC,4.44
253,3.54,2016-09-03 18:15:02.640,2016-09-03 21:47:23.230,600.0,042747EU,4.53
254,3.77,2016-09-03 21:55:09.207,2016-09-04 01:41:14.727,500.0,043947EU,4.75
255,27.16,2016-09-04 02:59:54.810,2016-09-05 06:09:20.307,5700.0,044046EU,3.1
256,23.85,2016-09-05 06:09:51.830,2016-09-06 06:00:34.430,3600.0,044138EU,3.21
257,32.02,2016-09-06 06:00:41.133,2016-09-07 14:01:51.643,1500.0,042936EU,3.1
258,12.46,2016-09-06 06:29:40.667,2016-09-06 18:57:15.870,2700.0,037739CH,4.46
259,16.05,2016-09-07 14:01:59.987,2016-09-08 06:05:13.147,3000.0,042939EU,3.81
260,22.82,2016-09-08 06:05:19.777,2016-09-09 04:54:41.397,3600.0,042943EU,3.02
261,8.99,2016-09-09 04:54:47.167,2016-09-09 13:54:23.193,500.0,037732CH,4.64
262,11.67,2016-09-09 13:54:28.550,2016-09-10 01:34:32.677,2200.0,023732CH,4.97
263,10.05,2016-09-10 02:07:26.800,2016-09-10 12:10:10.210,2300.0,037766EC,4.99
264,8.75,2016-09-10 12:11:39.190,2016-09-10 20:56:49.437,5700.0,044046EU,4.2
265,33.27,2016-09-10 21:12:07.850,2016-09-12 06:28:22.020,4000.0,044042EU,4.64
266,23.55,2016-09-12 06:28:27.197,2016-09-13 06:01:30.477,2300.0,041646EU,3.68
267,9.42,2016-09-13 06:01:36.190,2016-09-13 15:26:55.040,900.0,037462EU,3.4
268,6.05,2016-09-13 15:27:00.720,2016-09-13 21:30:10.563,1400.0,037462EU,3.88
269,26.19,2016-09-13 21:47:16.503,2016-09-14 23:58:38.023,3800.0,043847CH,4.6
270,41.23,2016-09-15 00:43:20.063,2016-09-16 17:57:19.963,6200.0,047868CH,4.02
