ID,Duration,Start,End,Power,Factor
286,56.34,2016-09-27 03:49:14.913,2016-09-29 12:09:42.920,34.64,152.19
287,6.67,2016-09-29 12:10:03.297,2016-09-29 18:50:31.200,35.48,154.49
288,5.97,2016-09-29 20:10:23.867,2016-09-30 02:08:25.103,30.18,177.34
289,15.75,2016-09-30 02:48:41.837,2016-09-30 18:33:56.540,48.21,139.76
290,48.7,2016-09-30 22:45:58.253,2016-10-02 23:28:12.943,48.34,156.45
291,20.23,2016-10-02 23:40:55.903,2016-10-03 19:54:40.260,37.22,117.31
292,18.75,2016-10-03 19:54:45.273,2016-10-04 14:40:03.073,36.17,132.54
293,11.31,2016-10-04 14:40:08.543,2016-10-05 01:58:33.790,39.37,140.32
294,11.7,2016-10-05 01:58:40.047,2016-10-05 13:40:55.150,31.4,176.33
295,7.5,2016-10-05 13:41:01.950,2016-10-05 21:10:50.303,42.21,110.2
296,15.31,2016-10-05 21:10:54.757,2016-10-06 12:29:26.000,36.52,182.71
297,19.33,2016-10-06 12:29:33.930,2016-10-07 07:49:23.660,35.99,179.93
298,3.61,2016-10-07 08:11:08.560,2016-10-07 11:47:54.600,35.88,156.03
299,11.28,2016-10-07 13:04:00.380,2016-10-08 00:20:43.913,38.52,129.27
300,17.2,2016-10-08 00:20:49.907,2016-10-08 17:32:51.457,33.24,116.2
301,23.47,2016-10-08 18:00:18.990,2016-10-09 17:28:26.170,33.5,165.66
302,6.13,2016-10-09 17:32:36.570,2016-10-09 23:40:31.057,44.07,152.98
303,49.87,2016-10-10 00:02:05.033,2016-10-12 01:54:23.500,48.25,111.86
304,29.12,2016-10-10 07:54:32.347,2016-10-11 13:01:31.863,35.03,156.24
305,231.66,2016-10-11 14:28:41.420,2016-10-21 06:08:33.637,34.11,196.74
306,24.93,2016-10-11 22:32:14.603,2016-10-12 23:28:17.560,36.13,194.08
307,25.26,2016-10-12 23:28:25.570,2016-10-14 00:43:55.230,34.46,157.72
308,17.1,2016-10-14 00:44:04.133,2016-10-14 17:50:19.970,34.04,138.22
309,95.73,2016-10-14 18:20:11.743,2016-10-18 18:04:08.990,49.12,165.09
310,37.11,2016-10-18 18:04:14.710,2016-10-20 07:10:42.963,43.71,111.49
311,42.97,2016-10-20 07:55:29.787,2016-10-22 02:53:38.830,44.35,113.61
312,15.79,2016-10-22 02:53:54.370,2016-10-22 18:41:28.567,41.57,151.39
313,12.57,2016-10-22 19:19:11.080,2016-10-23 07:53:23.627,37.57,171.79
314,16.07,2016-10-23 07:57:58.220,2016-10-24 00:02:24.347,33.14,120.04
315,19.73,2016-10-24 00:13:26.820,2016-10-24 19:57:31.397,39.11,129.8
